sourceAssetPath,sourcePack,observedModelIdentity,bucket,reason,proposedWeaponFamily,handedness,likelyFireMode,visualDistinctness,variantGroup,materialCount,rendererCount,geometryEstimate,boundsX,boundsY,boundsZ,longestAxis,gripAvailability,muzzleAvailability,toonCompatibility,shaders,recommendedDisposition,evidenceReference
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_A_Right.prefab,MW4,Light_A_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,2,892,0.057,0.049,0.187,0.187,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_B_Left.prefab,MW4,Light_B_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,2,832,0.045,0.071,0.138,0.138,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_B_Right.prefab,MW4,Light_B_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,2,832,0.045,0.071,0.138,0.138,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_C_Left.prefab,MW4,Light_C_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,630,0.028,0.038,0.061,0.061,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_C_Right.prefab,MW4,Light_C_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,630,0.028,0.038,0.061,0.061,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_D_Left.prefab,MW4,Light_D_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,992,0.061,0.056,0.153,0.153,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_D_Right.prefab,MW4,Light_D_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,992,0.061,0.056,0.153,0.153,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_E_Left.prefab,MW4,Light_E_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,1180,0.054,0.039,0.156,0.156,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_E_Right.prefab,MW4,Light_E_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,1180,0.054,0.039,0.156,0.156,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_F_Left.prefab,MW4,Light_F_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,968,0.045,0.047,0.185,0.185,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_F_Right.prefab,MW4,Light_F_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,968,0.045,0.047,0.185,0.185,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_G_Left.prefab,MW4,Light_G_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,660,0.038,0.044,0.17,0.17,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_G_Right.prefab,MW4,Light_G_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,660,0.038,0.044,0.17,0.17,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_H_Left.prefab,MW4,Light_H_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,1254,0.042,0.045,0.153,0.153,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_H_Right.prefab,MW4,Light_H_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,1254,0.042,0.045,0.153,0.153,none-authored,none-authored,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Brake_A.prefab,MW4,Muzzle_Brake_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,388,0.026,0.03,0.065,0.065,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Brake_B.prefab,MW4,Muzzle_Brake_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,300,0.03,0.035,0.06,0.06,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Brake_C.prefab,MW4,Muzzle_Brake_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,1080,0.032,0.038,0.083,0.083,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Brake_D.prefab,MW4,Muzzle_Brake_D,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,736,0.033,0.038,0.115,0.115,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Brake_E.prefab,MW4,Muzzle_Brake_E,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,296,0.035,0.04,0.058,0.058,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Brake_F.prefab,MW4,Muzzle_Brake_F,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,724,0.042,0.037,0.127,0.127,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Brake_G.prefab,MW4,Muzzle_Brake_G,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,680,0.055,0.044,0.135,0.135,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_A.prefab,MW4,Muzzle_Flash Hider_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,620,0.026,0.03,0.065,0.065,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_B.prefab,MW4,Muzzle_Flash Hider_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,558,0.03,0.035,0.109,0.109,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_C.prefab,MW4,Muzzle_Flash Hider_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,888,0.031,0.036,0.106,0.106,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_D.prefab,MW4,Muzzle_Flash Hider_D,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,816,0.026,0.03,0.069,0.069,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_E.prefab,MW4,Muzzle_Flash Hider_E,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,464,0.033,0.039,0.074,0.074,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_F.prefab,MW4,Muzzle_Flash Hider_F,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,332,0.03,0.035,0.13,0.13,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_G.prefab,MW4,Muzzle_Flash Hider_G,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,596,0.044,0.049,0.099,0.099,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_A.prefab,MW4,Muzzle_Suppressor_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,360,0.043,0.049,0.237,0.237,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_B.prefab,MW4,Muzzle_Suppressor_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,460,0.051,0.058,0.267,0.267,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_C.prefab,MW4,Muzzle_Suppressor_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,584,0.048,0.055,0.155,0.155,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_D.prefab,MW4,Muzzle_Suppressor_D,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,664,0.04,0.047,0.24,0.24,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_E.prefab,MW4,Muzzle_Suppressor_E,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,404,0.043,0.049,0.273,0.273,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_F.prefab,MW4,Muzzle_Suppressor_F,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,300,0.048,0.055,0.243,0.243,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_G.prefab,MW4,Muzzle_Suppressor_G,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,852,0.045,0.053,0.275,0.275,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_H.prefab,MW4,Muzzle_Suppressor_H,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,536,0.043,0.065,0.281,0.281,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_I.prefab,MW4,Muzzle_Suppressor_I,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,548,0.055,0.063,0.116,0.116,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Brake_A.prefab,MW4,Muzzle_Pistol_Brake_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,1060,0.028,0.033,0.069,0.069,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Brake_B.prefab,MW4,Muzzle_Pistol_Brake_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,632,0.028,0.041,0.058,0.058,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Device.prefab,MW4,Muzzle_Pistol_Device,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,212,0.022,0.025,0.032,0.032,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Flash Hider_A.prefab,MW4,Muzzle_Pistol_Flash Hider_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,416,0.028,0.033,0.075,0.075,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Flash Hider_B.prefab,MW4,Muzzle_Pistol_Flash Hider_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,560,0.025,0.029,0.065,0.065,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Suppressor_A.prefab,MW4,Muzzle_Pistol_Suppressor_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,2144,0.028,0.03,0.178,0.178,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Suppressor_B.prefab,MW4,Muzzle_Pistol_Suppressor_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,594,0.03,0.045,0.21,0.21,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Suppressor_C.prefab,MW4,Muzzle_Pistol_Suppressor_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,288,0.039,0.039,0.189,0.189,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Brake_A.prefab,MW4,Muzzle_Recon_Brake_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,536,0.043,0.037,0.085,0.085,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Brake_B.prefab,MW4,Muzzle_Recon_Brake_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,368,0.043,0.037,0.077,0.077,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Brake_C.prefab,MW4,Muzzle_Recon_Brake_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,448,0.05,0.053,0.092,0.092,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Flash Hider_A.prefab,MW4,Muzzle_Recon_Flash Hider_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,446,0.036,0.042,0.146,0.146,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Flash Hider_B.prefab,MW4,Muzzle_Recon_Flash Hider_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,372,0.038,0.044,0.1,0.1,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Flash Hider_C.prefab,MW4,Muzzle_Recon_Flash Hider_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,616,0.038,0.044,0.174,0.174,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Suppressor_A.prefab,MW4,Muzzle_Recon_Suppressor_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,292,0.057,0.066,0.418,0.418,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Suppressor_B.prefab,MW4,Muzzle_Recon_Suppressor_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,260,0.048,0.055,0.323,0.323,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Suppressor_C.prefab,MW4,Muzzle_Recon_Suppressor_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,1176,0.057,0.066,0.34,0.34,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Device_A.prefab,MW4,Muzzle_ShotGun_Device_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,312,0.042,0.048,0.15,0.15,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Device_B.prefab,MW4,Muzzle_ShotGun_Device_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,860,0.035,0.04,0.062,0.062,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Flash Hider_A.prefab,MW4,Muzzle_ShotGun_Flash Hider_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,280,0.033,0.039,0.064,0.064,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Flash Hider_B.prefab,MW4,Muzzle_ShotGun_Flash Hider_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,760,0.045,0.038,0.082,0.082,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Shoke_A.prefab,MW4,Muzzle_ShotGun_Shoke_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,168,0.022,0.026,0.017,0.026,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Shoke_B.prefab,MW4,Muzzle_ShotGun_Shoke_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,292,0.035,0.035,0.088,0.088,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Suppresor_A.prefab,MW4,Muzzle_ShotGun_Suppresor_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,331,0.045,0.088,0.348,0.348,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Suppresor_B.prefab,MW4,Muzzle_ShotGun_Suppresor_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,1500,0.045,0.084,0.318,0.318,none-authored,child-hit:1,urp-lit-needs-conversion,Universal Render Pipeline/Lit,,Evidence/ + _raw_prefab_scan.tsv
