path	pack	name	tris	bx	by	bz	renderers	mats	shaders	hasGrip
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rail_Risers/Rail_Riser_D.prefab	SeriesV4	Rail_Riser_D	1516	0.0547	0.0495	0.1875	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_A/Rail_A_Down.prefab	SeriesV4	Rail_A_Down	184	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_A/Rail_A_Down_Sand.prefab	SeriesV4	Rail_A_Down_Sand	184	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_A/Rail_A_Left.prefab	SeriesV4	Rail_A_Left	184	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_A/Rail_A_Left_Sand.prefab	SeriesV4	Rail_A_Left_Sand	184	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_A/Rail_A_Right.prefab	SeriesV4	Rail_A_Right	184	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_A/Rail_A_Right_Sand.prefab	SeriesV4	Rail_A_Right_Sand	184	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_A/Rail_A_Up.prefab	SeriesV4	Rail_A_Up	184	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_A/Rail_A_Up_Sand.prefab	SeriesV4	Rail_A_Up_Sand	184	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_B/Rail_B_Down.prefab	SeriesV4	Rail_B_Down	328	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_B/Rail_B_Down_Sand.prefab	SeriesV4	Rail_B_Down_Sand	328	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_B/Rail_B_Left.prefab	SeriesV4	Rail_B_Left	328	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_B/Rail_B_Left_Sand.prefab	SeriesV4	Rail_B_Left_Sand	328	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_B/Rail_B_Right.prefab	SeriesV4	Rail_B_Right	328	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_B/Rail_B_Right_Sand.prefab	SeriesV4	Rail_B_Right_Sand	328	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_B/Rail_B_Up.prefab	SeriesV4	Rail_B_Up	328	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_B/Rail_B_Up_Sand.prefab	SeriesV4	Rail_B_Up_Sand	328	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_C/Rail_C_Down.prefab	SeriesV4	Rail_C_Down	264	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_C/Rail_C_Down_Sand.prefab	SeriesV4	Rail_C_Down_Sand	264	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_C/Rail_C_Left.prefab	SeriesV4	Rail_C_Left	264	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_C/Rail_C_Left_Sand.prefab	SeriesV4	Rail_C_Left_Sand	264	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_C/Rail_C_Right.prefab	SeriesV4	Rail_C_Right	264	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_C/Rail_C_Right_Sand.prefab	SeriesV4	Rail_C_Right_Sand	264	0.0120	0.0325	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_C/Rail_C_Up.prefab	SeriesV4	Rail_C_Up	264	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_C/Rail_C_Up_Sand.prefab	SeriesV4	Rail_C_Up_Sand	264	0.0325	0.0120	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_D/Rail_D_Down.prefab	SeriesV4	Rail_D_Down	458	0.0400	0.0125	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_D/Rail_D_Left.prefab	SeriesV4	Rail_D_Left	458	0.0125	0.0400	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_D/Rail_D_Right.prefab	SeriesV4	Rail_D_Right	458	0.0125	0.0400	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rails/Rails_D/Rail_D_Up.prefab	SeriesV4	Rail_D_Up	458	0.0400	0.0125	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lasers/Laser_I_Left.prefab	SeriesV4	Laser_I_Left	1976	0.0405	0.0648	0.1255	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lasers/Laser_I_Right.prefab	SeriesV4	Laser_I_Right	1976	0.0405	0.0648	0.1255	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lasers/Laser_J_Left.prefab	SeriesV4	Laser_J_Left	1556	0.0380	0.0663	0.0913	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lasers/Laser_J_Right.prefab	SeriesV4	Laser_J_Right	1556	0.0380	0.0663	0.0913	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lasers/Laser_K_Left.prefab	SeriesV4	Laser_K_Left	3208	0.0357	0.0670	0.1120	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lasers/Laser_K_Right.prefab	SeriesV4	Laser_K_Right	3208	0.0357	0.0670	0.1120	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_I_Left.prefab	SeriesV4	Light_I_Left	2116	0.0493	0.0456	0.1780	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_I_Right.prefab	SeriesV4	Light_I_Right	2116	0.0493	0.0456	0.1780	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_J_Left.prefab	SeriesV4	Light_J_Left	2440	0.0338	0.0453	0.1505	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_J_Right.prefab	SeriesV4	Light_J_Right	2440	0.0338	0.0453	0.1505	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_K_Left.prefab	SeriesV4	Light_K_Left	2214	0.0365	0.0475	0.1214	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Tatical Lights/Light_K_Right.prefab	SeriesV4	Light_K_Right	2214	0.0365	0.0475	0.1214	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Brake_H.prefab	SeriesV4	Muzzle_Brake_H	424	0.0368	0.0425	0.0737	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Brake_I.prefab	SeriesV4	Muzzle_Brake_I	804	0.0309	0.0513	0.1224	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Brake_K.prefab	SeriesV4	Muzzle_Brake_K	456	0.0736	0.0368	0.0687	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Device_A.prefab	SeriesV4	Muzzle_Device_A	1496	0.0357	0.0413	0.0950	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Device_B.prefab	SeriesV4	Muzzle_Device_B	536	0.0334	0.0386	0.1670	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Device_C.prefab	SeriesV4	Muzzle_Device_C	992	0.0332	0.0358	0.0928	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Device_D.prefab	SeriesV4	Muzzle_Device_D	484	0.0330	0.0402	0.0487	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Device_E.prefab	SeriesV4	Muzzle_Device_E	1408	0.0325	0.0375	0.0875	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Device_F.prefab	SeriesV4	Muzzle_Device_F	968	0.0290	0.0335	0.1095	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Device_G.prefab	SeriesV4	Muzzle_Device_G	320	0.0288	0.0333	0.0868	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Device_H.prefab	SeriesV4	Muzzle_Device_H	620	0.0299	0.0345	0.0808	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Device_I.prefab	SeriesV4	Muzzle_Device_I	324	0.0342	0.0395	0.0604	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_H.prefab	SeriesV4	Muzzle_Flash Hider_H	848	0.0309	0.0357	0.1224	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_I.prefab	SeriesV4	Muzzle_Flash Hider_I	624	0.0400	0.0403	0.1375	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_J.prefab	SeriesV4	Muzzle_Flash Hider_J	1580	0.0281	0.0325	0.0708	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_K.prefab	SeriesV4	Muzzle_Flash Hider_K	424	0.0286	0.0330	0.0713	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_K_Sand.prefab	SeriesV4	Muzzle_Flash Hider_K_Sand	424	0.0286	0.0330	0.0713	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_J.prefab	SeriesV4	Muzzle_Suppressor_J	908	0.0455	0.0525	0.2600	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_J_Sand.prefab	SeriesV4	Muzzle_Suppressor_J_Sand	908	0.0455	0.0525	0.2600	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles/Muzzle_Suppressor_K.prefab	SeriesV4	Muzzle_Suppressor_K	380	0.0448	0.0518	0.2360	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Brake_A.prefab	SeriesV4	Muzzle_Pistol_Brake_A	1060	0.0281	0.0325	0.0695	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Brake_B.prefab	SeriesV4	Muzzle_Pistol_Brake_B	632	0.0275	0.0413	0.0578	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Brake_C.prefab	SeriesV4	Muzzle_Pistol_Brake_C	642	0.0285	0.0489	0.0583	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Device.prefab	SeriesV4	Muzzle_Pistol_Device	212	0.0218	0.0252	0.0325	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Device_B.prefab	SeriesV4	Muzzle_Pistol_Device_B	200	0.0399	0.0346	0.0150	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Flash Hider_A.prefab	SeriesV4	Muzzle_Pistol_Flash Hider_A	416	0.0281	0.0325	0.0750	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Flash Hider_B.prefab	SeriesV4	Muzzle_Pistol_Flash Hider_B	560	0.0247	0.0285	0.0650	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Flash Hider_C.prefab	SeriesV4	Muzzle_Pistol_Flash Hider_C	444	0.0305	0.0268	0.0460	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Suppressor_A.prefab	SeriesV4	Muzzle_Pistol_Suppressor_A	2144	0.0285	0.0300	0.1775	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Suppressor_B.prefab	SeriesV4	Muzzle_Pistol_Suppressor_B	594	0.0300	0.0450	0.2100	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Pistol/Muzzle_Pistol_Suppressor_C.prefab	SeriesV4	Muzzle_Pistol_Suppressor_C	288	0.0385	0.0385	0.1888	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Brake_A.prefab	SeriesV4	Muzzle_Recon_Brake_A	536	0.0425	0.0375	0.0850	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Brake_B.prefab	SeriesV4	Muzzle_Recon_Brake_B	368	0.0425	0.0375	0.0775	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Brake_C.prefab	SeriesV4	Muzzle_Recon_Brake_C	448	0.0500	0.0525	0.0925	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Device_A.prefab	SeriesV4	Muzzle_Recon_Device_A	620	0.0303	0.0350	0.0653	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Device_B.prefab	SeriesV4	Muzzle_Recon_Device_B	968	0.0525	0.0450	0.0925	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Device_C.prefab	SeriesV4	Muzzle_Recon_Device_C	1212	0.0390	0.0450	0.2750	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Flash Hider_A.prefab	SeriesV4	Muzzle_Recon_Flash Hider_A	446	0.0364	0.0420	0.1463	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Flash Hider_B.prefab	SeriesV4	Muzzle_Recon_Flash Hider_B	372	0.0381	0.0440	0.1000	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Flash Hider_C.prefab	SeriesV4	Muzzle_Recon_Flash Hider_C	616	0.0381	0.0440	0.1735	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Suppressor_A.prefab	SeriesV4	Muzzle_Recon_Suppressor_A	292	0.0572	0.0660	0.4175	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Suppressor_B.prefab	SeriesV4	Muzzle_Recon_Suppressor_B	260	0.0476	0.0550	0.3225	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Suppressor_C.prefab	SeriesV4	Muzzle_Recon_Suppressor_C	1176	0.0572	0.0660	0.3400	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Suppressor_D.prefab	SeriesV4	Muzzle_Recon_Suppressor_D	4620	0.0476	0.0550	0.2950	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_Recon/Muzzle_Recon_Suppressor_D_Sand.prefab	SeriesV4	Muzzle_Recon_Suppressor_D_Sand	4620	0.0476	0.0550	0.2950	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Device_A.prefab	SeriesV4	Muzzle_ShotGun_Device_A	312	0.0416	0.0480	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Device_B.prefab	SeriesV4	Muzzle_ShotGun_Device_B	860	0.0350	0.0404	0.0617	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Device_C.prefab	SeriesV4	Muzzle_ShotGun_Device_C	716	0.0390	0.0450	0.1200	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Flash Hider_A.prefab	SeriesV4	Muzzle_ShotGun_Flash Hider_A	280	0.0333	0.0385	0.0637	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Flash Hider_B.prefab	SeriesV4	Muzzle_ShotGun_Flash Hider_B	760	0.0450	0.0375	0.0825	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Flash Hider_C.prefab	SeriesV4	Muzzle_ShotGun_Flash Hider_C	476	0.0485	0.0560	0.1217	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Shoke_A.prefab	SeriesV4	Muzzle_ShotGun_Shoke_A	168	0.0222	0.0256	0.0175	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Shoke_A_X2.prefab	SeriesV4	Muzzle_ShotGun_Shoke_A_X2	336	0.0222	0.0521	0.0175	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Shoke_B.prefab	SeriesV4	Muzzle_ShotGun_Shoke_B	292	0.0350	0.0350	0.0875	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Suppresor_A.prefab	SeriesV4	Muzzle_ShotGun_Suppresor_A	331	0.0450	0.0875	0.3475	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Suppresor_B.prefab	SeriesV4	Muzzle_ShotGun_Suppresor_B	1500	0.0450	0.0838	0.3175	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Barrels/Muzzles_ShotGun/Muzzle_ShotGun_Suppresor_C.prefab	SeriesV4	Muzzle_ShotGun_Suppresor_C	716	0.0573	0.0661	0.3188	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Grips/Grip_A.prefab	SeriesV4	Grip_A	2394	0.0400	0.1540	0.1165	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Grips/Grip_B.prefab	SeriesV4	Grip_B	762	0.0400	0.1323	0.0926	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Grips/Grip_C.prefab	SeriesV4	Grip_C	1332	0.0510	0.1358	0.1138	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AF.prefab	SeriesV4	Optic_AF	1120	0.0518	0.0747	0.1470	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AG.prefab	SeriesV4	Optic_AG	1812	0.0675	0.1154	0.1450	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AI.prefab	SeriesV4	Optic_AI	2068	0.0621	0.1084	0.1134	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AJ.prefab	SeriesV4	Optic_AJ	1670	0.0525	0.0770	0.1559	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AK.prefab	SeriesV4	Optic_AK	962	0.0530	0.0758	0.0925	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AL.prefab	SeriesV4	Optic_AL	3398	0.0645	0.1471	0.1948	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AM.prefab	SeriesV4	Optic_AM	3350	0.0750	0.1218	0.2375	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AN.prefab	SeriesV4	Optic_AN	1412	0.0636	0.0799	0.1188	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AO.prefab	SeriesV4	Optic_AO	3024	0.0550	0.1225	0.2150	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AP.prefab	SeriesV4	Optic_AP	1896	0.0511	0.0706	0.1298	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_AR.prefab	SeriesV4	Optic_AR	7728	0.0776	0.1026	0.3441	3	3	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics/Optic_Z.prefab	SeriesV4	Optic_Z	1936	0.0736	0.1457	0.2426	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_Combo/Optic_J.prefab	SeriesV4	Optic_J	2128	0.0638	0.1347	0.1950	3	3	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_Combo/Optic_L.prefab	SeriesV4	Optic_L	3236	0.0663	0.1008	0.2575	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_Combo/Optic_L_2.prefab	SeriesV4	Optic_L_2	3596	0.0663	0.1008	0.3198	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_IronSight/Optic_AA.prefab	SeriesV4	Optic_AA	1728	0.0563	0.0708	0.0663	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_IronSight/Optic_AB.prefab	SeriesV4	Optic_AB	2440	0.0510	0.0543	0.0420	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_IronSight/Optic_AC.prefab	SeriesV4	Optic_AC	1120	0.0490	0.0520	0.0507	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_IronSight/Optic_AD.prefab	SeriesV4	Optic_AD	3200	0.0550	0.0623	0.0350	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_IronSight/Optic_AE.prefab	SeriesV4	Optic_AE	1860	0.0590	0.0604	0.0400	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_IronSight/Optic_AH.prefab	SeriesV4	Optic_AH	1926	0.0500	0.0358	0.0595	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_IronSight/Optic_AO.prefab	SeriesV4	Optic_AO	1622	0.0513	0.0508	0.0655	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_IronSight/Optic_G.prefab	SeriesV4	Optic_G	2416	0.0575	0.0625	0.0438	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_IronSight/Optic_G_2.prefab	SeriesV4	Optic_G_2	2436	0.0575	0.0695	0.0438	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Optics/Optics_Pistol/Optic_Pistol_G.prefab	SeriesV4	Optic_Pistol_G	1084	0.0390	0.0579	0.0727	2	2	Standard	False
